DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-08-16 08:10:47,5,5,0,5683.2,2.315,2.5,8,20,0,0,78.6,5400.2
2024-08-16 08:10:49,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:10:51,5,5,0,4409.6,45.95,2.5,8,20,0,0,4.6,4403
2024-08-16 08:10:53,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:10:55,5,5,0,4586.6,38.056,2.5,8,20,0,0,3.8,4580.6
2024-08-16 08:10:57,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:10:59,5,5,0,4137.8,36.384,2.5,8,20,0,0,6,4134.8
2024-08-16 08:11:01,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:11:03,5,5,0,3886.2,32.499,2.5,8,20,0,0,2.4,3882.6
2024-08-16 08:11:05,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:11:07,5,5,0,4296.6,38.024,2.5,8,20,0,0,2.6,4293
2024-08-16 08:11:09,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:11:11,5,5,0,3772,11.576,2.5,8,20,0,0,5,3766.6
2024-08-16 08:11:14,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:11:16,5,5,0,3737.2,42.944,2.5,8,20,0,0,14.4,3733
2024-08-16 08:11:18,5,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 08:11:20,5,5,0,4043.8,87.675,2.5,8,20,0,0,24.2,4041.4
2024-08-16 08:11:22,5,46,0,401.174,1088.786,23,8,184,0,0,6.391,399.196
2024-08-16 08:11:24,5,453,0,20.071,16.532,226.5,8,1812,0,0,6.943,18.022
2024-08-16 08:11:26,5,659,0,14.314,7.366,329.5,8,2636,0,0,5.179,13.086
